epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8991,1.61082,3.85244,1.27246,0.56264,0.22711,0.26353,0.16754,1.24773,2.93692,1.11357,0.000157572,0.000157572,0.000157572
2,154.188,1.41177,1.74222,1.20077,0.55532,0.26168,0.28797,0.1762,1.42083,2.71471,1.21976,0.000305803,0.000305803,0.000305803
3,230.531,1.38074,1.43477,1.18273,0.42261,0.32303,0.36496,0.2391,1.25229,2.3337,1.17593,0.000443562,0.000443562,0.000443562
4,308.237,1.35152,1.33426,1.17613,0.68776,0.34638,0.45644,0.24959,1.44389,2.27504,1.26538,0.000428876,0.000428876,0.000428876
5,384.227,1.3154,1.23672,1.15892,0.42196,0.45151,0.39559,0.25597,1.19703,2.06144,1.16481,0.000413168,0.000413168,0.000413168
6,464.453,1.32706,1.17216,1.15547,0.53914,0.36621,0.40601,0.27966,1.14542,2.05074,1.15186,0.00039746,0.00039746,0.00039746
7,540.876,1.29326,1.14026,1.13345,0.62099,0.44195,0.44742,0.2698,1.30072,2.01313,1.19009,0.000381752,0.000381752,0.000381752
8,623.935,1.25395,1.06443,1.12142,0.57705,0.38728,0.41952,0.2737,1.27039,2.0217,1.19939,0.000366044,0.000366044,0.000366044
9,694.597,1.2535,1.04586,1.12522,0.67522,0.39756,0.49512,0.29763,1.2082,1.79177,1.14991,0.000350336,0.000350336,0.000350336
10,767.863,1.22965,1.00447,1.11201,0.62191,0.38479,0.45304,0.28701,1.31403,1.68992,1.21249,0.000334628,0.000334628,0.000334628
11,836.943,1.22141,0.97282,1.10832,0.63189,0.43607,0.50207,0.30455,1.17132,1.65171,1.13378,0.00031892,0.00031892,0.00031892
12,911.053,1.18696,0.94237,1.08797,0.74164,0.42095,0.50118,0.32699,1.13629,1.72197,1.12231,0.000303212,0.000303212,0.000303212
13,987.536,1.18794,0.91914,1.09733,0.72425,0.40583,0.54886,0.35636,1.10476,1.68619,1.11092,0.000287504,0.000287504,0.000287504
14,1061.46,1.18267,0.89037,1.08689,0.70614,0.41489,0.54547,0.33647,1.09535,1.63248,1.1117,0.000271796,0.000271796,0.000271796
15,1134.44,1.17084,0.86994,1.08312,0.68287,0.4318,0.49958,0.32595,1.07812,1.7244,1.12422,0.000256088,0.000256088,0.000256088
16,1207.61,1.15139,0.84403,1.05971,0.77151,0.44768,0.56121,0.35345,1.14262,1.68933,1.1075,0.00024038,0.00024038,0.00024038
17,1280.63,1.14398,0.85161,1.06417,0.67626,0.46294,0.52773,0.34592,1.10823,1.63676,1.09127,0.000224672,0.000224672,0.000224672
18,1353.99,1.12201,0.80356,1.05175,0.75064,0.41386,0.52968,0.33709,1.08699,1.63448,1.1117,0.000208964,0.000208964,0.000208964
19,1425.18,1.1201,0.79824,1.05802,0.73868,0.43096,0.56168,0.37724,1.08037,1.56461,1.10387,0.000193256,0.000193256,0.000193256
20,1502.48,1.11938,0.80077,1.0587,0.70952,0.48935,0.56125,0.35689,1.09932,1.65617,1.10183,0.000177548,0.000177548,0.000177548
21,1566.73,1.02295,0.65687,1.02018,0.64795,0.47528,0.52843,0.35181,1.0994,1.66902,1.10348,0.00016184,0.00016184,0.00016184
22,1627.05,1.01389,0.62621,1.01402,0.67246,0.50318,0.56304,0.36996,1.10844,1.68112,1.11789,0.000146132,0.000146132,0.000146132
23,1685.5,0.98946,0.59876,1.00314,0.78267,0.42436,0.55349,0.35478,1.09893,1.61285,1.12941,0.000130424,0.000130424,0.000130424
24,1742.86,0.97946,0.58519,1.00074,0.6822,0.5197,0.55021,0.34693,1.1237,1.70207,1.11511,0.000114716,0.000114716,0.000114716
25,1802.53,0.97168,0.56127,0.99276,0.61889,0.59864,0.59651,0.38513,1.07824,1.64264,1.09334,9.9008e-05,9.9008e-05,9.9008e-05
26,1862.62,0.94548,0.53846,0.9841,0.66752,0.55839,0.59495,0.39455,1.06147,1.57122,1.08928,8.33e-05,8.33e-05,8.33e-05
27,1922.56,0.96268,0.55175,0.98308,0.6208,0.58734,0.57878,0.38446,1.06146,1.57351,1.09385,6.7592e-05,6.7592e-05,6.7592e-05
28,1979.92,0.92495,0.51423,0.97551,0.65107,0.56995,0.58282,0.37905,1.05603,1.58416,1.08544,5.1884e-05,5.1884e-05,5.1884e-05
29,2038.6,0.92923,0.5133,0.97546,0.54256,0.64977,0.56437,0.37756,1.04992,1.58011,1.09431,3.6176e-05,3.6176e-05,3.6176e-05
30,2097.98,0.91101,0.50095,0.96125,0.66078,0.58391,0.59794,0.39293,1.04193,1.55945,1.08975,2.0468e-05,2.0468e-05,2.0468e-05
